days_until_expiry,credential_age_days,dependency_count,privilege_level,environment,historical_rotation_failures,access_frequency_per_day,risk_level
56,2,1,ADMIN,Production,0,803,MEDIUM
2,332,0,MEDIUM,Production,0,353,HIGH
96,339,1,MEDIUM,Development,0,922,LOW
4,99,0,HIGH,Development,3,249,HIGH
148,9,0,LOW,Production,0,811,LOW
7,297,1,MEDIUM,Production,0,758,HIGH
4,89,3,HIGH,Development,1,845,HIGH
38,316,1,MEDIUM,Production,1,441,MEDIUM
38,71,1,HIGH,Staging,2,223,HIGH
48,87,3,MEDIUM,Production,0,454,MEDIUM
70,9,5,MEDIUM,Staging,0,12,MEDIUM
75,106,0,LOW,Development,0,466,LOW
42,46,3,ADMIN,Production,0,361,MEDIUM
24,277,2,MEDIUM,Production,0,646,HIGH
12,82,3,MEDIUM,Production,0,665,HIGH
2,27,6,LOW,Staging,0,809,HIGH
22,102,3,MEDIUM,Development,1,240,MEDIUM
21,113,0,MEDIUM,Production,0,60,MEDIUM
7,100,3,LOW,Testing,2,212,HIGH
105,235,2,LOW,Staging,0,230,LOW
3,268,2,HIGH,Testing,3,610,HIGH
15,114,5,MEDIUM,Production,0,157,HIGH
2,272,1,ADMIN,Testing,1,718,HIGH
79,209,6,MEDIUM,Production,0,307,MEDIUM
50,293,3,ADMIN,Staging,0,470,MEDIUM
81,361,3,LOW,Production,1,77,MEDIUM
58,314,2,HIGH,Staging,0,811,MEDIUM
24,27,0,HIGH,Production,0,638,HIGH
4,172,1,MEDIUM,Development,0,494,MEDIUM
136,258,3,HIGH,Production,0,69,HIGH
76,273,5,MEDIUM,Staging,0,381,MEDIUM
22,92,1,ADMIN,Production,2,116,HIGH
86,322,0,LOW,Development,0,703,LOW
2,97,0,LOW,Production,1,242,HIGH
52,168,2,MEDIUM,Production,0,547,MEDIUM
5,191,7,MEDIUM,Production,0,53,HIGH
5,90,4,MEDIUM,Development,0,687,MEDIUM
18,190,1,LOW,Production,0,40,MEDIUM
65,63,6,ADMIN,Production,0,516,HIGH
160,170,3,ADMIN,Production,0,922,HIGH
26,58,3,ADMIN,Staging,1,147,HIGH
27,48,1,LOW,Production,0,204,MEDIUM
36,347,3,LOW,Production,0,529,MEDIUM
4,219,1,MEDIUM,Staging,0,296,MEDIUM
77,213,4,MEDIUM,Staging,0,830,MEDIUM
84,74,1,ADMIN,Production,0,893,MEDIUM
31,140,2,MEDIUM,Production,0,732,MEDIUM
20,155,4,ADMIN,Production,0,577,HIGH
50,242,0,LOW,Production,0,299,LOW
8,35,2,MEDIUM,Production,0,497,HIGH
30,295,0,ADMIN,Production,0,600,HIGH
19,215,3,MEDIUM,Development,2,54,HIGH
42,86,2,MEDIUM,Staging,1,851,MEDIUM
11,74,0,HIGH,Production,0,386,HIGH
4,97,4,MEDIUM,Production,0,711,HIGH
3,68,6,MEDIUM,Production,0,324,HIGH
2,61,1,LOW,Production,1,150,HIGH
58,58,0,MEDIUM,Production,0,780,MEDIUM
1,155,3,LOW,Production,0,806,HIGH
3,75,4,HIGH,Development,2,598,HIGH
3,297,4,LOW,Staging,0,737,HIGH
118,363,2,MEDIUM,Development,0,194,LOW
58,209,0,ADMIN,Production,3,131,HIGH
49,43,1,MEDIUM,Production,0,295,MEDIUM
15,220,1,HIGH,Production,0,866,HIGH
74,203,2,ADMIN,Production,0,92,HIGH
137,174,1,MEDIUM,Development,1,418,LOW
79,330,6,HIGH,Development,0,687,MEDIUM
2,129,2,MEDIUM,Production,0,142,HIGH
29,348,1,HIGH,Development,0,643,MEDIUM
43,252,2,LOW,Development,0,833,LOW
11,193,2,MEDIUM,Testing,0,186,MEDIUM
23,200,2,ADMIN,Production,0,696,HIGH
66,201,1,MEDIUM,Production,0,391,MEDIUM
2,188,1,MEDIUM,Production,0,32,HIGH
21,29,3,HIGH,Production,0,668,HIGH
4,276,1,LOW,Staging,0,889,MEDIUM
75,163,1,MEDIUM,Production,0,591,MEDIUM
62,342,1,MEDIUM,Development,0,377,LOW
4,153,8,LOW,Testing,0,236,MEDIUM
3,272,2,ADMIN,Production,0,819,HIGH
21,213,2,HIGH,Development,0,469,MEDIUM
62,240,1,MEDIUM,Production,0,833,MEDIUM
24,124,1,HIGH,Production,0,312,HIGH
48,132,3,MEDIUM,Production,0,249,MEDIUM
162,217,3,LOW,Development,0,168,LOW
96,249,4,LOW,Staging,0,923,LOW
175,204,6,HIGH,Development,0,148,MEDIUM
165,269,1,MEDIUM,Staging,1,248,MEDIUM
78,121,6,HIGH,Production,0,114,HIGH
2,274,1,ADMIN,Development,2,329,HIGH
54,158,0,MEDIUM,Production,2,625,HIGH
16,359,1,HIGH,Development,1,129,MEDIUM
141,131,1,LOW,Production,2,779,MEDIUM
28,18,1,LOW,Staging,0,803,LOW
58,358,1,MEDIUM,Testing,0,435,LOW
75,329,3,HIGH,Production,0,815,HIGH
1,128,2,LOW,Production,2,855,HIGH
152,69,1,LOW,Production,0,851,LOW
141,293,1,MEDIUM,Staging,2,950,MEDIUM
43,87,0,HIGH,Production,0,619,MEDIUM
38,223,4,LOW,Staging,2,852,MEDIUM
14,254,1,LOW,Production,0,216,MEDIUM
42,15,1,ADMIN,Production,0,637,MEDIUM
7,166,7,LOW,Production,0,222,HIGH
3,171,6,HIGH,Production,0,367,HIGH
47,155,7,ADMIN,Testing,0,140,MEDIUM
16,174,5,MEDIUM,Testing,0,329,MEDIUM
18,144,3,MEDIUM,Production,2,294,HIGH
21,252,4,MEDIUM,Testing,0,878,MEDIUM
4,19,2,HIGH,Testing,0,483,HIGH
22,253,0,ADMIN,Production,0,156,HIGH
78,289,5,LOW,Development,0,602,LOW
5,256,3,LOW,Testing,1,31,MEDIUM
68,79,0,ADMIN,Staging,0,729,MEDIUM
33,232,1,MEDIUM,Production,0,756,MEDIUM
9,29,3,HIGH,Testing,0,621,MEDIUM
93,84,1,MEDIUM,Staging,0,667,LOW
82,159,5,HIGH,Production,0,372,HIGH
23,289,3,HIGH,Production,0,437,HIGH
10,238,3,HIGH,Production,0,735,HIGH
3,245,1,MEDIUM,Development,3,705,HIGH
67,24,2,HIGH,Testing,0,427,MEDIUM
3,258,0,HIGH,Development,0,478,HIGH
10,233,4,LOW,Development,0,832,LOW
5,345,0,ADMIN,Staging,0,10,HIGH
142,309,3,LOW,Staging,0,837,LOW
7,98,0,MEDIUM,Testing,0,197,MEDIUM
46,276,1,LOW,Testing,0,479,LOW
12,249,2,MEDIUM,Development,1,604,MEDIUM
31,222,7,MEDIUM,Staging,1,759,MEDIUM
56,314,6,HIGH,Production,1,893,HIGH
67,138,5,HIGH,Production,0,489,HIGH
3,148,3,HIGH,Development,0,453,HIGH
27,151,3,LOW,Staging,0,431,MEDIUM
82,145,3,HIGH,Production,0,499,HIGH
144,253,1,LOW,Development,0,53,LOW
41,258,0,MEDIUM,Testing,0,445,LOW
47,24,4,LOW,Development,0,922,LOW
34,57,7,HIGH,Development,0,629,MEDIUM
37,106,5,ADMIN,Production,0,304,HIGH
12,71,0,HIGH,Production,0,430,HIGH
2,191,3,LOW,Production,0,649,HIGH
15,210,5,LOW,Production,2,533,HIGH
80,265,6,MEDIUM,Production,0,327,HIGH
79,329,1,HIGH,Production,0,651,MEDIUM
56,156,3,HIGH,Testing,0,357,MEDIUM
56,279,3,MEDIUM,Development,0,457,LOW
3,276,1,ADMIN,Production,0,762,HIGH
36,267,1,MEDIUM,Testing,0,28,LOW
84,259,0,HIGH,Development,0,386,LOW
28,3,2,MEDIUM,Staging,3,829,HIGH
50,294,3,MEDIUM,Production,0,537,MEDIUM
5,218,4,LOW,Production,0,68,HIGH
54,302,2,LOW,Production,0,897,MEDIUM
90,214,4,MEDIUM,Staging,0,135,MEDIUM
30,81,6,MEDIUM,Production,0,126,HIGH
49,61,1,MEDIUM,Production,3,315,HIGH
97,157,5,LOW,Staging,0,843,LOW
10,294,1,LOW,Production,0,350,MEDIUM
12,231,3,MEDIUM,Production,0,750,HIGH
20,24,6,HIGH,Staging,1,758,HIGH
71,64,3,LOW,Staging,0,638,LOW
5,273,1,HIGH,Production,0,810,HIGH
82,206,2,HIGH,Staging,0,28,MEDIUM
1,51,2,LOW,Staging,0,192,MEDIUM
41,167,1,LOW,Staging,0,310,LOW
2,123,4,MEDIUM,Staging,0,509,HIGH
51,34,2,MEDIUM,Production,0,244,MEDIUM
79,65,1,LOW,Testing,0,90,LOW
41,217,7,MEDIUM,Production,0,47,MEDIUM
3,247,1,MEDIUM,Development,0,701,MEDIUM
26,83,3,MEDIUM,Staging,0,312,MEDIUM
44,163,5,HIGH,Development,2,655,HIGH
15,236,6,HIGH,Staging,0,940,HIGH
88,212,2,HIGH,Production,0,505,HIGH
25,64,1,MEDIUM,Production,1,852,HIGH
138,228,0,MEDIUM,Production,0,781,MEDIUM
83,114,1,ADMIN,Staging,0,376,MEDIUM
8,143,2,MEDIUM,Development,0,570,MEDIUM
68,66,1,HIGH,Development,0,238,LOW
32,315,1,HIGH,Testing,0,469,MEDIUM
18,349,2,MEDIUM,Development,0,534,MEDIUM
89,162,0,ADMIN,Production,0,88,MEDIUM
100,101,1,HIGH,Testing,0,646,LOW
171,129,1,LOW,Production,0,353,LOW
80,49,3,HIGH,Production,0,92,HIGH
2,227,0,ADMIN,Testing,0,447,HIGH
17,317,4,HIGH,Development,0,618,MEDIUM
145,318,0,HIGH,Production,0,696,MEDIUM
37,35,2,MEDIUM,Production,1,931,HIGH
21,125,0,HIGH,Production,0,135,HIGH
68,76,2,MEDIUM,Staging,0,303,MEDIUM
46,287,5,LOW,Staging,0,205,LOW
18,355,8,HIGH,Testing,0,344,HIGH
2,22,2,MEDIUM,Testing,1,659,HIGH
61,193,1,LOW,Staging,0,11,LOW
4,300,5,LOW,Staging,0,35,MEDIUM
6,101,0,MEDIUM,Development,1,937,MEDIUM
28,108,1,HIGH,Development,0,833,MEDIUM
7,67,4,LOW,Staging,0,392,MEDIUM
79,275,1,MEDIUM,Production,0,258,MEDIUM
77,340,3,HIGH,Development,0,402,MEDIUM
6,365,1,HIGH,Production,0,737,HIGH
89,107,1,MEDIUM,Testing,0,888,LOW
7,44,0,LOW,Staging,0,460,MEDIUM
24,240,2,LOW,Production,0,514,MEDIUM
1,43,1,MEDIUM,Staging,0,564,HIGH
1,103,1,HIGH,Production,0,261,HIGH
168,279,5,HIGH,Staging,0,311,MEDIUM
2,335,2,MEDIUM,Staging,0,157,HIGH
45,283,4,LOW,Testing,0,477,LOW
30,286,0,LOW,Staging,0,899,LOW
29,215,2,ADMIN,Development,0,786,MEDIUM
95,79,7,MEDIUM,Production,3,586,HIGH
3,198,1,HIGH,Production,0,588,HIGH
37,17,4,HIGH,Testing,0,32,MEDIUM
45,36,2,LOW,Development,0,16,LOW
38,245,3,ADMIN,Development,0,930,LOW
21,310,2,LOW,Testing,0,212,LOW
2,205,3,HIGH,Production,0,341,HIGH
26,234,1,ADMIN,Testing,1,816,HIGH
42,235,1,HIGH,Staging,0,720,MEDIUM
48,342,5,MEDIUM,Production,0,744,MEDIUM
35,167,2,ADMIN,Testing,0,217,MEDIUM
142,204,0,MEDIUM,Production,0,731,MEDIUM
3,337,1,MEDIUM,Testing,2,148,HIGH
5,64,2,MEDIUM,Production,0,84,HIGH
5,18,5,LOW,Production,0,457,HIGH
20,307,0,HIGH,Production,0,790,HIGH
1,8,1,LOW,Staging,0,690,MEDIUM
33,168,1,ADMIN,Development,0,644,LOW
15,89,0,MEDIUM,Staging,0,17,MEDIUM
1,112,2,MEDIUM,Staging,0,516,HIGH
16,324,3,LOW,Testing,0,794,LOW
29,312,5,MEDIUM,Production,0,528,HIGH
32,64,1,LOW,Production,0,780,LOW
6,105,3,LOW,Staging,0,747,MEDIUM
48,21,2,ADMIN,Production,2,668,HIGH
46,341,8,HIGH,Production,1,717,HIGH
2,252,0,HIGH,Production,0,654,HIGH
68,105,1,ADMIN,Testing,0,747,LOW
5,147,2,LOW,Production,2,211,HIGH
20,217,2,HIGH,Staging,0,783,HIGH
58,154,2,ADMIN,Development,0,749,MEDIUM
55,37,1,MEDIUM,Development,0,205,LOW
144,192,1,LOW,Development,0,607,LOW
41,131,4,ADMIN,Development,0,361,MEDIUM
30,218,3,MEDIUM,Production,0,40,HIGH
4,310,2,MEDIUM,Testing,0,265,MEDIUM
38,197,1,MEDIUM,Staging,0,927,LOW
21,273,3,ADMIN,Development,0,320,MEDIUM
71,177,4,HIGH,Production,0,219,HIGH
2,36,4,MEDIUM,Testing,0,431,HIGH
5,94,2,HIGH,Production,0,585,HIGH
14,320,0,LOW,Production,0,86,MEDIUM
4,249,3,MEDIUM,Staging,0,67,HIGH
44,193,3,ADMIN,Staging,3,784,HIGH
178,162,4,MEDIUM,Staging,2,686,HIGH
149,206,3,HIGH,Staging,1,147,HIGH
30,317,3,LOW,Development,1,532,MEDIUM
137,167,3,LOW,Production,0,501,MEDIUM
151,359,5,HIGH,Production,0,305,HIGH
12,345,8,HIGH,Production,3,483,HIGH
7,88,4,MEDIUM,Development,0,96,MEDIUM
88,113,3,ADMIN,Development,0,924,MEDIUM
10,115,6,HIGH,Production,0,620,HIGH
162,224,4,MEDIUM,Development,0,123,LOW
5,161,6,LOW,Staging,0,6,MEDIUM
51,65,2,MEDIUM,Staging,0,232,LOW
83,256,3,LOW,Development,0,295,LOW
51,353,0,HIGH,Development,3,728,HIGH
1,171,1,HIGH,Production,0,873,HIGH
85,154,8,HIGH,Production,0,873,HIGH
151,201,1,LOW,Development,0,294,LOW
39,298,5,ADMIN,Staging,0,731,MEDIUM
22,75,1,HIGH,Staging,1,205,HIGH
29,219,3,LOW,Production,0,62,MEDIUM
11,223,7,ADMIN,Development,0,418,MEDIUM
167,335,3,LOW,Staging,0,819,LOW
16,6,0,LOW,Production,0,505,MEDIUM
26,356,3,ADMIN,Production,0,190,HIGH
3,33,3,ADMIN,Staging,1,555,HIGH
83,272,2,HIGH,Development,0,603,MEDIUM
4,307,3,HIGH,Production,0,462,HIGH
41,18,0,LOW,Production,0,310,LOW
96,266,5,MEDIUM,Staging,0,551,MEDIUM
89,262,1,MEDIUM,Production,0,844,MEDIUM
39,303,1,LOW,Development,0,642,LOW
28,43,6,MEDIUM,Production,0,716,HIGH
6,191,2,LOW,Development,0,528,MEDIUM
94,127,0,MEDIUM,Production,0,117,MEDIUM
89,75,5,MEDIUM,Production,0,15,MEDIUM
7,157,2,ADMIN,Development,1,102,HIGH
6,200,1,HIGH,Production,1,699,HIGH
7,352,2,MEDIUM,Testing,0,134,MEDIUM
54,215,3,MEDIUM,Development,0,367,LOW
24,45,6,MEDIUM,Production,0,325,HIGH
1,147,2,HIGH,Production,0,900,HIGH
62,347,5,ADMIN,Development,0,420,MEDIUM
58,177,1,LOW,Development,0,947,LOW
59,269,5,ADMIN,Production,0,380,HIGH
23,58,1,MEDIUM,Production,0,856,MEDIUM
6,2,3,HIGH,Production,0,227,HIGH
88,30,1,ADMIN,Testing,0,341,MEDIUM
2,252,1,LOW,Staging,0,925,MEDIUM
4,241,1,LOW,Development,0,443,LOW
4,182,3,MEDIUM,Testing,0,909,MEDIUM
9,170,5,LOW,Testing,0,208,MEDIUM
21,350,3,ADMIN,Testing,0,787,MEDIUM
38,65,1,MEDIUM,Production,0,790,MEDIUM
27,149,1,LOW,Production,0,444,MEDIUM
105,359,1,LOW,Staging,1,208,LOW
85,77,1,HIGH,Production,0,44,MEDIUM
1,27,1,LOW,Staging,0,721,MEDIUM
23,27,1,LOW,Production,0,292,MEDIUM
1,339,3,HIGH,Testing,0,488,HIGH
16,58,0,HIGH,Staging,0,570,HIGH
26,333,1,LOW,Production,0,94,MEDIUM
68,99,3,LOW,Testing,2,81,MEDIUM
2,99,2,HIGH,Testing,0,917,HIGH
59,224,0,ADMIN,Testing,0,520,MEDIUM
2,356,1,LOW,Production,1,511,HIGH
22,200,2,ADMIN,Production,0,193,HIGH
60,269,1,MEDIUM,Development,1,308,LOW
9,328,0,MEDIUM,Production,1,141,HIGH
3,178,3,HIGH,Staging,2,337,HIGH
12,30,3,HIGH,Development,0,369,MEDIUM
175,299,0,ADMIN,Staging,0,396,MEDIUM
5,298,3,MEDIUM,Testing,1,409,HIGH
3,93,2,LOW,Development,1,185,MEDIUM
28,91,4,MEDIUM,Development,0,197,MEDIUM
56,71,3,LOW,Development,1,622,LOW
4,43,1,MEDIUM,Development,2,619,HIGH
6,289,5,ADMIN,Development,1,319,HIGH
1,23,0,LOW,Staging,0,528,MEDIUM
8,181,3,MEDIUM,Testing,0,905,MEDIUM
4,145,1,HIGH,Production,0,126,HIGH
27,172,2,ADMIN,Staging,0,158,HIGH
19,256,3,HIGH,Testing,2,835,HIGH
5,229,3,HIGH,Testing,0,494,HIGH
132,94,4,LOW,Production,0,511,MEDIUM
174,197,2,HIGH,Production,0,551,HIGH
68,356,4,MEDIUM,Production,0,94,MEDIUM
108,31,5,LOW,Staging,0,874,LOW
161,216,1,HIGH,Testing,1,62,MEDIUM
77,218,1,LOW,Production,0,683,MEDIUM
5,126,0,MEDIUM,Production,0,838,HIGH
24,173,2,HIGH,Production,0,18,HIGH
79,6,1,LOW,Staging,0,901,LOW
145,140,7,HIGH,Production,0,133,HIGH
42,40,4,MEDIUM,Production,0,325,MEDIUM
82,100,1,MEDIUM,Production,0,376,MEDIUM
1,109,2,HIGH,Production,0,321,HIGH
36,289,8,LOW,Development,0,54,LOW
6,201,3,ADMIN,Staging,2,724,HIGH
3,196,2,MEDIUM,Production,1,43,HIGH
120,349,3,LOW,Staging,0,169,LOW
22,185,3,MEDIUM,Testing,2,45,HIGH
2,79,2,HIGH,Testing,3,104,HIGH
23,152,1,LOW,Production,0,377,MEDIUM
61,227,3,LOW,Staging,0,131,LOW
170,67,2,MEDIUM,Testing,0,644,LOW
124,350,0,MEDIUM,Testing,2,63,MEDIUM
12,82,2,LOW,Production,1,233,HIGH
60,239,0,MEDIUM,Staging,0,115,LOW
20,310,2,ADMIN,Testing,0,492,MEDIUM
5,291,0,MEDIUM,Development,0,394,MEDIUM
118,351,2,HIGH,Development,0,185,MEDIUM
148,269,1,LOW,Development,1,193,LOW
17,215,2,LOW,Production,0,807,MEDIUM
7,342,2,HIGH,Development,0,685,MEDIUM
149,256,5,ADMIN,Testing,0,695,MEDIUM
71,297,0,MEDIUM,Production,0,197,MEDIUM
117,348,2,MEDIUM,Production,0,838,MEDIUM
174,212,2,MEDIUM,Staging,0,560,MEDIUM
13,284,2,ADMIN,Production,0,395,HIGH
49,51,8,HIGH,Staging,1,111,HIGH
170,52,3,LOW,Development,0,830,LOW
80,59,1,MEDIUM,Development,0,132,LOW
2,192,4,HIGH,Staging,0,279,HIGH
2,14,1,MEDIUM,Testing,0,841,MEDIUM
6,201,1,HIGH,Production,0,853,HIGH
28,163,2,ADMIN,Development,0,106,MEDIUM
89,82,6,LOW,Production,0,100,MEDIUM
160,41,2,LOW,Development,0,756,LOW
174,153,1,MEDIUM,Development,1,748,LOW
36,327,8,HIGH,Production,1,118,HIGH
1,254,4,MEDIUM,Production,1,217,HIGH
1,352,2,MEDIUM,Staging,1,653,HIGH
88,324,3,HIGH,Testing,0,356,MEDIUM
123,99,3,MEDIUM,Testing,0,535,LOW
4,43,3,LOW,Production,2,279,HIGH
30,254,2,LOW,Staging,2,949,HIGH
37,301,1,LOW,Development,0,744,LOW
70,220,1,ADMIN,Production,0,924,MEDIUM
24,310,4,LOW,Production,0,548,HIGH
21,38,1,LOW,Staging,0,153,LOW
30,165,5,LOW,Production,0,399,HIGH
168,344,0,LOW,Staging,1,436,LOW
14,141,2,MEDIUM,Production,0,180,HIGH
32,295,8,MEDIUM,Production,1,296,HIGH
1,49,4,ADMIN,Development,0,313,HIGH
25,25,1,HIGH,Staging,0,470,MEDIUM
6,6,0,HIGH,Production,3,887,HIGH
77,276,8,MEDIUM,Production,2,893,HIGH
4,353,3,ADMIN,Development,1,281,HIGH
131,300,5,ADMIN,Production,2,428,HIGH
26,144,1,HIGH,Production,0,236,HIGH
66,106,3,HIGH,Development,0,511,MEDIUM
1,107,4,LOW,Development,0,531,MEDIUM
2,67,1,HIGH,Testing,0,468,HIGH
5,158,6,MEDIUM,Testing,0,109,MEDIUM
4,15,2,ADMIN,Development,0,365,MEDIUM
21,221,2,ADMIN,Staging,0,284,MEDIUM
14,305,1,LOW,Staging,0,536,LOW
3,19,2,HIGH,Production,0,549,HIGH
7,355,1,LOW,Development,0,809,LOW
37,359,3,HIGH,Staging,0,878,MEDIUM
133,73,7,LOW,Testing,0,443,LOW
74,243,2,LOW,Staging,0,258,LOW
6,76,4,LOW,Production,0,828,HIGH
25,187,2,MEDIUM,Production,1,313,HIGH
48,328,0,ADMIN,Production,2,881,HIGH
46,221,1,ADMIN,Staging,0,203,MEDIUM
160,231,8,MEDIUM,Testing,1,184,MEDIUM
26,22,2,HIGH,Staging,0,859,HIGH
17,351,0,MEDIUM,Production,0,540,MEDIUM
3,151,0,HIGH,Testing,0,294,HIGH
58,1,0,LOW,Production,0,904,LOW
5,101,2,ADMIN,Staging,1,302,HIGH
29,51,5,MEDIUM,Staging,2,616,HIGH
39,129,0,MEDIUM,Staging,0,313,LOW
42,224,0,MEDIUM,Staging,0,715,LOW
22,211,2,ADMIN,Staging,1,32,HIGH
15,318,2,MEDIUM,Testing,0,305,MEDIUM
31,266,2,HIGH,Development,0,61,MEDIUM
37,354,1,ADMIN,Staging,0,763,MEDIUM
4,254,0,MEDIUM,Production,1,660,HIGH
4,35,0,MEDIUM,Testing,0,128,MEDIUM
8,29,6,LOW,Production,0,500,MEDIUM
147,316,0,HIGH,Testing,0,27,MEDIUM
63,244,2,HIGH,Development,0,107,MEDIUM
55,238,2,MEDIUM,Testing,0,33,LOW
50,337,3,LOW,Staging,0,933,LOW
16,258,1,LOW,Staging,1,542,MEDIUM
19,72,1,LOW,Staging,0,315,LOW
61,295,3,LOW,Testing,0,679,LOW
2,16,5,LOW,Production,0,103,HIGH
120,122,0,MEDIUM,Production,1,750,MEDIUM
2,38,2,HIGH,Testing,0,651,HIGH
4,327,2,ADMIN,Production,0,263,HIGH
58,99,0,HIGH,Production,0,689,MEDIUM
80,37,1,LOW,Development,0,937,LOW
83,183,3,MEDIUM,Production,0,146,MEDIUM
7,265,1,MEDIUM,Production,0,241,HIGH
17,184,0,MEDIUM,Development,1,299,MEDIUM
70,57,2,MEDIUM,Development,2,274,MEDIUM
6,281,4,LOW,Production,0,780,HIGH
163,360,4,ADMIN,Production,1,359,HIGH
25,22,0,ADMIN,Testing,0,235,MEDIUM
2,101,2,MEDIUM,Production,1,703,HIGH
80,221,3,LOW,Production,0,123,MEDIUM
146,122,1,ADMIN,Production,0,237,MEDIUM
86,40,0,HIGH,Production,0,294,MEDIUM
17,337,0,MEDIUM,Development,0,261,LOW
129,283,1,LOW,Testing,0,544,LOW
53,319,2,MEDIUM,Testing,0,938,LOW
25,73,0,ADMIN,Development,0,455,MEDIUM
23,302,1,MEDIUM,Production,1,91,HIGH
8,23,1,ADMIN,Development,0,680,MEDIUM
135,312,4,LOW,Production,0,853,MEDIUM
8,219,4,HIGH,Testing,2,775,HIGH
60,291,4,LOW,Development,0,395,LOW
178,44,8,ADMIN,Production,0,307,HIGH
6,335,4,MEDIUM,Staging,0,132,HIGH
22,239,0,HIGH,Staging,0,658,MEDIUM
88,33,2,LOW,Production,0,810,MEDIUM
109,336,0,ADMIN,Staging,0,44,MEDIUM
2,133,7,MEDIUM,Development,0,870,HIGH
3,260,2,MEDIUM,Testing,0,247,HIGH
145,74,0,MEDIUM,Staging,0,373,LOW
3,189,0,MEDIUM,Staging,2,938,HIGH
76,365,1,LOW,Production,0,855,LOW
100,115,2,HIGH,Production,3,650,HIGH
82,338,2,MEDIUM,Production,0,280,MEDIUM
6,162,3,MEDIUM,Development,0,251,MEDIUM
53,186,3,ADMIN,Production,0,464,HIGH
74,311,1,LOW,Production,0,326,LOW
171,102,5,MEDIUM,Development,1,20,MEDIUM
39,13,3,MEDIUM,Development,3,140,MEDIUM
39,124,3,MEDIUM,Production,0,923,MEDIUM
136,210,3,MEDIUM,Production,0,451,MEDIUM
1,4,2,MEDIUM,Staging,0,669,HIGH
11,25,2,MEDIUM,Production,1,598,HIGH
113,22,4,ADMIN,Production,0,753,HIGH
6,148,1,MEDIUM,Staging,0,911,MEDIUM
4,106,2,ADMIN,Development,0,177,HIGH
8,145,6,ADMIN,Development,0,754,MEDIUM
11,222,2,LOW,Production,0,145,MEDIUM
78,168,1,HIGH,Testing,0,469,LOW
103,267,1,MEDIUM,Production,1,681,MEDIUM
15,113,3,HIGH,Production,0,160,HIGH
172,265,5,LOW,Production,0,8,MEDIUM
30,135,3,MEDIUM,Production,0,245,HIGH
120,343,2,MEDIUM,Production,0,406,MEDIUM
15,229,1,MEDIUM,Production,0,123,MEDIUM
75,248,4,ADMIN,Development,1,620,MEDIUM
2,166,1,LOW,Production,0,405,HIGH
16,24,1,MEDIUM,Production,0,591,MEDIUM
4,277,0,MEDIUM,Testing,0,826,MEDIUM
2,108,1,HIGH,Staging,0,165,HIGH
111,170,2,MEDIUM,Production,0,259,MEDIUM
1,145,1,LOW,Testing,0,795,MEDIUM
4,139,5,LOW,Production,0,521,HIGH
78,78,0,HIGH,Production,0,405,MEDIUM
21,235,1,HIGH,Development,0,676,MEDIUM
15,146,5,MEDIUM,Production,0,255,HIGH
79,232,1,ADMIN,Staging,2,411,HIGH
4,323,7,MEDIUM,Production,0,178,HIGH
40,243,2,ADMIN,Staging,1,783,HIGH
78,19,1,HIGH,Staging,0,421,MEDIUM
131,121,1,MEDIUM,Testing,0,531,LOW
3,66,4,HIGH,Production,0,771,HIGH
62,269,2,LOW,Development,0,565,LOW
17,166,3,LOW,Production,0,670,MEDIUM
76,129,2,MEDIUM,Development,0,343,LOW
1,214,1,HIGH,Testing,0,10,HIGH
3,320,2,LOW,Staging,0,363,MEDIUM
48,219,2,ADMIN,Production,0,644,HIGH
3,111,1,ADMIN,Production,0,109,HIGH
67,316,3,MEDIUM,Development,0,177,LOW
4,1,1,LOW,Development,1,58,MEDIUM
50,124,2,HIGH,Development,0,399,MEDIUM
36,86,6,MEDIUM,Production,1,733,HIGH
81,286,5,MEDIUM,Development,0,187,LOW
44,98,1,MEDIUM,Development,0,770,LOW
8,189,5,LOW,Testing,0,18,MEDIUM
33,141,3,LOW,Production,2,848,MEDIUM
42,332,4,HIGH,Development,1,44,MEDIUM
113,68,0,HIGH,Staging,1,127,MEDIUM
11,100,3,HIGH,Development,0,345,MEDIUM
77,341,2,HIGH,Production,1,690,HIGH
16,142,3,LOW,Development,0,424,LOW
1,239,2,HIGH,Development,0,584,HIGH
42,11,4,LOW,Testing,0,227,LOW
84,98,3,MEDIUM,Production,0,322,MEDIUM
12,97,1,HIGH,Development,0,307,MEDIUM
19,329,2,MEDIUM,Staging,1,708,HIGH
7,360,2,LOW,Production,0,703,HIGH
6,240,1,LOW,Production,2,534,HIGH
51,338,2,LOW,Production,0,723,MEDIUM
21,52,1,MEDIUM,Development,0,171,LOW
60,223,3,LOW,Production,0,254,MEDIUM
2,120,4,MEDIUM,Staging,1,524,HIGH
32,154,5,MEDIUM,Development,2,541,MEDIUM
97,159,4,ADMIN,Development,0,359,MEDIUM
14,42,1,LOW,Production,1,452,MEDIUM
8,242,2,LOW,Development,0,222,LOW
11,69,1,HIGH,Testing,0,294,MEDIUM
25,301,0,HIGH,Production,1,187,HIGH
141,331,1,MEDIUM,Production,0,50,MEDIUM
7,160,1,MEDIUM,Staging,1,40,HIGH
74,239,4,ADMIN,Staging,0,755,MEDIUM
39,352,2,ADMIN,Development,0,691,MEDIUM
2,231,2,HIGH,Production,0,734,HIGH
58,346,0,MEDIUM,Staging,0,729,LOW
21,63,5,LOW,Production,0,56,HIGH
